Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
SINOTRUK;;;;;;;2;2;1;;2;1;1;3;3;;;1;;3;2;5;4;2;2;;3;1;2;;1;1;;;;;;;;;;;;;;;2;;
SERO;2;;;;;;1;;2;4;;3;2;1;3;1;;;5;1;1;2;;;;1;;;;1;;;1;1;;1;1;;2;1;3;;;;;;2;1;
METALURGICA ALEM;;;1;;2;;5;4;;;;;3;1;1;;;;;4;1;3;;;;;;;;;;3;;;;;;4;1;1;3;;1;2;;1;;1;
MONTESUR;;1;1;2;1;1;2;3;1;;3;1;;2;2;1;1;;;;;;1;;1;;;1;;;1;;;;;;2;2;;;;2;2;1;1;2;1;;
CARRETONES DANIEL BRITO;1;1;;;;;;1;1;1;;1;1;3;;2;;;2;2;;1;2;;;1;1;;;1;1;1;1;1;;;1;1;1;1;;1;1;;3;2;;;
HEIL;;14;1;3;;3;1;2;2;;;;;1;;2;;;;;;;2;;;;;;;;1;;1;1;;1;1;1;;;;;;;;;;;
KAIYI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;1;1;6;7;8;3;6;1;
LOMAS CAMPING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;6;4;4;6;5;7;
BEMFRA;;;;;;;;;20;;;;;;;;;;;;;8;2;;;;5;;;;;;;;;;;;;;;;;;;;;;
MESAMI;2;;;1;1;1;;1;1;1;1;;;3;3;2;1;1;1;;;1;1;2;1;1;;;1;1;1;1;;2;1;1;;;;;;;;;;1;;;
RHAPSODY;;;;;;;;;;;;;;;;;;;;;;;1;2;1;3;;1;2;;;1;3;3;2;1;;1;3;1;;1;2;1;2;1;;3;
VOLVO/BUSSCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;12;2;3;6;;5;5;;;1;;
DIMATAN;;;;;1;1;1;1;1;;1;1;;;;;;1;1;2;1;;;;1;;;1;3;2;1;;2;;;;;2;;1;2;;;1;2;;;4;
DE PAOLI;;1;1;1;1;1;1;5;3;4;;;;;1;4;;;;;4;1;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;
GUERRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;6;9;5;1
DIMATRA;1;;1;;1;2;1;1;1;1;;;;;;;;;;;2;;;;1;;;;;;;;;1;;1;;1;;3;1;1;1;1;1;1;4;2;
TRAILERS GALLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;3;1;1;2;1;3;1;;1;3;4;1;1;;1;3;1;
DOMY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;7;6;2;4;1;2;1
MARISOL;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;1;3;;2;1;2;3;2;4;1;;;;;1;;4;;;
CARBALLIDO;1;2;2;3;1;3;1;;;;;;;;3;;;;;;;;;;;;1;;;1;;;;;1;;1;;;1;;1;;;1;1;;;
CRESCENTE;;;1;2;4;3;3;2;3;1;2;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
DAWI;;;;;;;;;;1;2;;;;;;;;;;;;1;;1;;;1;;;;;1;;1;1;;;;1;1;1;1;;2;4;4;1;
RAMI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;2;4;3;;;;4;1;2;
EQUIPAMIENTOS VDU;;;1;;;;;;;1;3;;1;;;;1;1;;;;;;;3;;;1;;;;;1;;;2;;;;1;1;;;;;2;1;2;
FRUSSO;;;1;;1;;;1;;;1;;1;1;;;2;;1;1;;;;;;1;;;;1;;2;1;;;;2;;;;1;1;2;;;1;;;
PETINARI;1;1;;1;;2;1;;;1;;1;2;1;1;;1;;2;1;;;;1;1;1;;1;2;;;;;;;;;;;;;;;;;;;;
MERCEDES BENZ/MARCOPOLO;4;;;3;3;1;1;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;
M.VIGNA;;;;;;;;;;;;;;;;;;2;11;;6;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
HEEVEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;1;2;1;1;2;;;1;;1;1;;;;;;;
IC TRAILERS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;3;1;3;1;2;;1;
STRUPENI;2;;;;1;;;;;;;;;;;1;;1;1;;;1;;;;;;;;;;;1;;;;1;;;;2;;2;1;;1;;;
